published_date,location,home_type,price,area,bedroom,wc,legal_status,furniture
03/10/2025,"Đống Đa, Hà Nội",căn hộ chung cư,7.5,45.0,1.0,1.0,Hợp đồng mua bán,Đầy đủ
03/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.8,79.0,2.0,3.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Tây Hồ, Hà Nội",nhà mặt phố,68.5,120.0,5.0,5.0,Sổ đỏ/ Sổ hồng,Cơ bản
03/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",17.9,104.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Hà Đông, Hà Nội",căn hộ chung cư,4.95,68.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản
03/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,5.0,46.0,1.0,1.0,Không có - Thiếu,Không có - Thiếu
03/10/2025,"Tây Hồ, Hà Nội",căn hộ chung cư,15.5,141.0,3.0,2.0,Đang chờ sổ,Không có - Thiếu
03/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",23.5,75.0,8.0,8.0,Hợp đồng mua bán,Không có - Thiếu
02/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,2.2,28.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",21.5,70.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
02/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",23.0,120.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
02/10/2025,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",17.0,67.5,4.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản
02/10/2025,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",17.0,67.5,4.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản
02/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,2.53,28.1,1.0,1.0,Hợp đồng mua bán,Cơ bản
02/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",41.0,136.0,6.0,6.0,Sổ đỏ/ Sổ hồng,Cơ bản
02/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,7.5,90.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,7.0,70.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
02/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.8,80.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
02/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,7.0,72.0,2.0,2.0,Hợp đồng mua bán,Đầy đủ
02/10/2025,"Long Biên, Hà Nội","shophouse, nhà phố thương mại",10.8,59.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
02/10/2025,"Hoàng Mai, Hà Nội",căn hộ chung cư,4.8,76.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Long Biên, Hà Nội",căn hộ chung cư,10.8,68.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,4.72,63.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,3.15,43.5,1.0,1.0,Hợp đồng mua bán,Cơ bản
02/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,11.0,85.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",39.0,255.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
02/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,15.0,108.8,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Sơn Tây, Hà Nội",đất,2.8,100.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
02/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,17.0,144.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Quốc Oai, Hà Nội",đất,3.1,100.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
02/10/2025,"Tây Hồ, Hà Nội",căn hộ chung cư,10.8,145.0,3.0,3.0,Sổ đỏ,Đầy đủ
02/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,4.5,65.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
02/10/2025,"Tây Hồ, Hà Nội",căn hộ chung cư,15.5,156.0,3.0,2.0,Không có - Thiếu,Đầy đủ
02/10/2025,"Ba Vì, Hà Nội","nhà biệt thự, liền kề",21.9,2.1,3.0,3.0,Sổ đỏ/ sổ hồng,Không có - Thiếu
02/10/2025,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",11.0,63.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
02/10/2025,"Tây Hồ, Hà Nội",căn hộ chung cư,10.8,180.0,4.0,4.0,Hợp đồng mua bán,Đầy đủ
02/10/2025,"Quốc Oai, Hà Nội",đất,4.76,190.6,3.0,3.0,Sổ hồng,Không có - Thiếu
01/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,10.8,85.0,2.0,2.0,Hợp đồng mua bán,Cơ bản
01/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,8.3,72.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
01/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",38.0,228.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
01/10/2025,"Long Biên, Hà Nội",căn hộ chung cư,4.1,68.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
01/10/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",12.65,75.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
01/10/2025,"Hà Đông, Hà Nội",căn hộ chung cư,4.6,45.6,1.0,3.0,Hợp đồng mua bán.,Đầy đủ
01/10/2025,"Long Biên, Hà Nội",căn hộ chung cư,4.18,68.4,2.0,2.0,Hợp đồng mua bán,Cơ bản
01/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",19.0,63.0,4.0,4.0,Hợp đồng mua bán,Không có - Thiếu
01/10/2025,"Sơn Tây, Hà Nội",đất,1.7,100.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
01/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,4.8,61.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
01/10/2025,"Cầu Giấy, Hà Nội",nhà riêng,9.8,35.0,3.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ
01/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,7.6,68.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
01/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,6.65,82.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
