page,published_date,price,area,price_per_m2,bedroom,wc,location,home_type,legal_status,furniture
4,06/10/2025,N/A,80.0,N/A,N/A,N/A,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ lâu dài.,Full nội thất.
4,06/10/2025,31.5,120.0,262.5,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng.,Đầy đủ
4,06/10/2025,6.5,73.0,89.04,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
4,06/10/2025,49.5,140.0,353.57,N/A,N/A,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
4,06/10/2025,49.7,140.0,355.0,N/A,N/A,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
4,06/10/2025,50.0,150.0,333.33,6,5,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
4,06/10/2025,22.6,132.5,170.57,5,6,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
4,06/10/2025,17.5,152.0,115.13,4,3,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Full nội thất.
4,05/10/2025,N/A,40.0,N/A,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
4,05/10/2025,N/A,116.0,N/A,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán.,Full nội thất.
4,05/10/2025,13.0,126.0,103.18,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,05/10/2025,3.9,300.0,13.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
5,05/10/2025,24.2,67.5,358.52,6,5,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
5,05/10/2025,5.3,62.3,85.07,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng.,Nội thất mới 100%.
5,05/10/2025,2.65,30.8,86.04,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,N/A,65.0,N/A,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,4.2,100.0,42.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng.,N/A
5,04/10/2025,N/A,100.0,N/A,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
5,04/10/2025,11.5,67.0,171.64,N/A,N/A,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",N/A,N/A
5,04/10/2025,17.9,120.0,149.17,5,4,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
5,04/10/2025,N/A,48.0,N/A,1,1,"Long Biên, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
5,04/10/2025,19.0,63.0,301.59,5,4,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
5,04/10/2025,41.0,72.0,569.44,5,4,"Đống Đa, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Cơ bản
5,04/10/2025,5.92,97.0,61.03,3,2,"Đông Anh, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,4.1,55.0,74.54,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
5,04/10/2025,17.9,50.0,358.0,2,3,"Hà Đông, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Cơ bản
5,04/10/2025,420.0,780.0,538.46,N/A,N/A,"Tây Hồ, Hà Nội",nhà mặt phố,N/A,N/A
5,04/10/2025,N/A,69.0,N/A,2,2,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
5,04/10/2025,3.5,43.0,81.4,1,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
5,04/10/2025,17.5,163.0,107.36,N/A,N/A,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,N/A
5,04/10/2025,22.5,80.0,281.25,N/A,N/A,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ,N/A
6,04/10/2025,9.8,60.0,163.33,N/A,N/A,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,N/A
6,04/10/2025,29.5,75.0,393.33,N/A,N/A,"Đông Anh, Hà Nội","shophouse, nhà phố thương mại",N/A,N/A
6,04/10/2025,49.0,140.0,350.0,5,5,"Tây Hồ, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Không nội thất
6,04/10/2025,5.5,60.0,91.67,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
6,04/10/2025,N/A,43.0,N/A,2,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản
6,04/10/2025,36.0,70.0,514.29,21,22,"Đống Đa, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
6,04/10/2025,N/A,55.0,N/A,2,1,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
6,04/10/2025,56.0,227.0,246.7,N/A,N/A,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
6,04/10/2025,6.7,50.0,134.0,N/A,N/A,"Hoàng Mai, Hà Nội",đất,Sổ đỏ/ Sổ hồng.,N/A
6,03/10/2025,35.0,170.0,205.88,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
6,03/10/2025,N/A,70.0,N/A,2,N/A,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
6,03/10/2025,N/A,247.0,N/A,N/A,N/A,"Đông Anh, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
6,03/10/2025,N/A,123.0,N/A,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ.,Hoàn thiện nội thất đẹp.
6,03/10/2025,52.0,265.8,195.64,N/A,N/A,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
6,03/10/2025,2.3,28.0,82.14,N/A,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
6,03/10/2025,N/A,312.0,N/A,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
6,03/10/2025,7.66,73.0,105.0,N/A,1,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
6,03/10/2025,6.8,100.0,68.0,2,2,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
6,03/10/2025,N/A,76.0,N/A,N/A,N/A,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",N/A,N/A
6,03/10/2025,4.3,54.0,79.63,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
7,03/10/2025,2.8,30.3,92.41,N/A,N/A,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,N/A,N/A
7,03/10/2025,4.1,68.0,60.29,2,2,"Long Biên, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
7,03/10/2025,N/A,96.0,N/A,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
7,03/10/2025,12.3,112.0,109.82,3,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
7,03/10/2025,26.6,150.0,177.33,6,5,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
7,03/10/2025,22.55,116.0,194.36,N/A,N/A,"Đan Phượng, Hà Nội","shophouse, nhà phố thương mại",N/A,N/A
7,03/10/2025,7.0,38.0,184.21,3,4,"Hoài Đức, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Đầy đủ
7,03/10/2025,19.5,63.0,309.52,N/A,N/A,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,N/A
7,03/10/2025,7.5,45.0,166.67,1,1,"Đống Đa, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
7,03/10/2025,N/A,79.0,N/A,2,N/A,"Cầu Giấy, Hà Nội",căn hộ chung cư,N/A,N/A
7,03/10/2025,68.5,120.0,570.83,5,5,"Tây Hồ, Hà Nội",nhà mặt phố,Sổ đỏ/ Sổ hồng,Cơ bản
7,03/10/2025,17.9,104.0,172.12,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
7,03/10/2025,4.95,68.0,72.75,2,2,"Hà Đông, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Cơ bản hoàn thiện nội thất cơ bản.
7,03/10/2025,5.0,46.0,108.7,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,N/A,N/A
7,03/10/2025,15.5,141.0,109.93,3,2,"Tây Hồ, Hà Nội",căn hộ chung cư,Đang chờ sổ,N/A
7,03/10/2025,23.5,75.0,313.33,8,8,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
7,02/10/2025,2.2,28.0,78.57,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
7,02/10/2025,21.5,70.0,307.14,N/A,N/A,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
7,02/10/2025,23.0,120.0,191.67,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,N/A
7,02/10/2025,17.0,67.5,251.85,4,4,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Cơ bản
8,02/10/2025,17.0,67.5,251.85,4,4,"Gia Lâm, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Cơ bản
8,02/10/2025,2.53,28.1,90.0,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
8,02/10/2025,41.0,136.0,301.47,6,6,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ Sổ hồng,Cơ bản
8,02/10/2025,7.5,90.0,83.33,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,7.0,70.0,100.0,N/A,N/A,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,N/A,N/A
8,02/10/2025,N/A,80.0,N/A,2,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
8,02/10/2025,7.0,72.0,97.22,2,2,"Thanh Xuân, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
8,02/10/2025,N/A,59.0,N/A,N/A,N/A,"Long Biên, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,N/A
8,02/10/2025,4.8,76.0,63.16,2,2,"Hoàng Mai, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,N/A,68.0,N/A,2,2,"Long Biên, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,4.72,63.0,75.0,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,3.15,43.5,72.41,1,1,"Gia Lâm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
8,02/10/2025,11.0,85.0,129.41,2,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,39.0,255.0,152.94,N/A,N/A,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
8,02/10/2025,15.0,108.8,137.87,3,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,2.8,100.0,28.0,N/A,N/A,"Sơn Tây, Hà Nội",đất,N/A,N/A
8,02/10/2025,17.0,144.0,118.06,3,3,"Thanh Xuân, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
8,02/10/2025,3.1,100.0,31.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,N/A,N/A
8,02/10/2025,N/A,145.0,N/A,3,N/A,"Tây Hồ, Hà Nội",căn hộ chung cư,Sổ đỏ,Full nội thất gắn tường cao cấp.
8,02/10/2025,4.5,65.0,69.23,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
9,02/10/2025,15.5,156.0,99.36,3,2,"Tây Hồ, Hà Nội",căn hộ chung cư,N/A,"Full nội thất liền tường cao cấp nhập khẩu Châu Âu Porta Door, Duravit, Hafele, Hansgrohe..."
9,02/10/2025,21.9,2.1,10.43,N/A,N/A,"Ba Vì, Hà Nội","nhà biệt thự, liền kề",Sổ đỏ/ sổ hồng,N/A
9,02/10/2025,11.0,63.0,174.6,N/A,N/A,"Nam Từ Liêm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,N/A
9,02/10/2025,N/A,180.0,N/A,4,4,"Tây Hồ, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Đầy đủ
9,02/10/2025,4.76,190.6,25.0,N/A,N/A,"Quốc Oai, Hà Nội",đất,Sổ hồng,N/A
9,01/10/2025,N/A,85.0,N/A,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
9,01/10/2025,8.3,72.0,115.28,2,2,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,"Căn hộ được trang bị đầy đủ nội thất hiện đại, bao gồm điều hòa, tủ lạnh, giường, mang đến sự tiện nghi tối đa cho cư dân."
9,01/10/2025,38.0,228.0,166.67,N/A,N/A,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",N/A,N/A
9,01/10/2025,4.1,68.0,60.29,2,2,"Long Biên, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
9,01/10/2025,12.65,75.0,168.67,1,1,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",Sổ đỏ/ Sổ hồng,Không nội thất
9,01/10/2025,4.6,45.6,100.88,1,N/A,"Hà Đông, Hà Nội",căn hộ chung cư,Hợp đồng mua bán.,"Đầy đủ. Hoàn thiện full nội thất liền tường cao cấp (trừ giường tủ quần áo, bàn ăn)."
9,01/10/2025,4.18,68.4,61.11,2,2,"Long Biên, Hà Nội",căn hộ chung cư,Hợp đồng mua bán,Cơ bản
9,01/10/2025,19.0,63.0,301.59,4,4,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",Hợp đồng mua bán,Không nội thất
9,01/10/2025,1.7,100.0,17.0,N/A,N/A,"Sơn Tây, Hà Nội",đất,Sổ đỏ/ Sổ hồng,N/A
9,01/10/2025,4.8,61.0,78.69,2,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,Đầy đủ
9,01/10/2025,9.8,35.0,280.0,3,4,"Cầu Giấy, Hà Nội",nhà riêng,Sổ đỏ/ Sổ hồng,Đầy đủ
9,01/10/2025,7.6,68.0,111.76,2,2,"Cầu Giấy, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
9,01/10/2025,6.65,82.0,81.1,3,2,"Gia Lâm, Hà Nội",căn hộ chung cư,Sổ đỏ/ Sổ hồng,N/A
